Tip,chinese_name,episode,movie_name,ranking,score,score_num
26话/2006年4月2日/佐藤順一/天野こずえ/古賀誠,水星领航员 第二季,26,ARIA The NATURAL,81,8.3,1277
75话/2001年10月10日/西澤晋、神谷純、えんどうてつや/ほったゆみ、小畑健/本橋秀之、関口可奈味、上田美由紀、芝美奈子,棋魂,75,ヒカルの碁,82,8.3,2798
12话/2018年1月4日/京極義昭/あfろ（芳文社「まんがタイムきららフォワード」連載）/佐々木睦美,摇曳露营△,12,ゆるキャン△,120,8.2,4256
13话/2005年10月5日/佐藤順一/天野こずえ/古賀誠,水星领航员,13,ARIA The ANIMATION,119,8.2,1980
12话/2003年8月26日/武本康弘/賀東招二/堀内修,全金属狂潮 校园篇,12,フルメタル・パニック? ふもっふ,118,8.2,4126
8话/2002年1月17日/冨樫義博,猎人 OVA,8,HUNTER×HUNTER,117,8.2,892
1话/1999年8月14日,少女革命剧场版 思春期默示录,1,少女革命ウテナ アドゥレセンス黙示録,116,8.2,929
14话/2015年4月7日/石原立也/武田綾乃（宝島社文庫「響け！ユーフォニアム」シリーズ）/池田晶子,吹响！悠风号,14,響け! ユーフォニアム,115,8.2,6778
6话/2004年11月26日/鶴巻和哉/GAINAX/貞本義行,飞跃巅峰2！,6,トップをねらえ2!,114,8.2,2054
13话/2016年10月5日/石原立也/武田綾乃（宝島社文庫「響け！ユーフォニアム」シリーズ）/池田晶子,吹响！悠风号 第二季,13,響け！ユーフォニアム2,113,8.2,4386
35话/2014年11月7日,日本动画（人）博览会,35,日本アニメ（ーター）見本市,112,8.2,1153
12话/2020年1月5日/湯浅政明/大童澄瞳（小学館「月刊！スピリッツ」連載中）/浅野直之,别对映像研出手！,12,映像研には手を出すな！,111,8.2,2700
26话/2007年5月12日/磯光雄/磯光雄/本田雄,电脑线圈,26,電脳コイル,110,8.2,2635
1话/1988年4月16日/宮崎駿,龙猫,1,となりのトトロ,109,8.2,5088
9话/2020年1月21日/刘慈欣,9,2020年1月21日,我的三体 章北海传,108,8.3,493
14话/2010年4月1日/吉田隆彦,王牌投手 振臂高挥～夏日大会篇～,14,おおきく振りかぶって～夏の大会編～,107,8.2,1151
26话/2007年4月12日,王牌投手 振臂高挥,26,おおきく振りかぶって,106,8.2,1538
22话/2012年4月22日/武本康弘/米澤穂信/西屋太志,冰菓,22,氷菓,105,8.2,11673
1话/1988-03-21/特伟、马克宣/吴山明,山水情,1,山水情,144,8.3,305
25话/2008年10月1日/長井龍雪/竹宮ゆゆこ（アスキー・メディアワークス／電撃文庫）,龙与虎,25,とらドラ!,143,8.1,10128
1话/1999年11月17日/沖浦啓之/西尾鉄也、沖浦啓之,人狼,1,人狼 JIN-ROH,142,8.2,989
1话/2017年4月7日/湯浅政明/森見登美彦（角川文庫刊）,春宵苦短，少女前进吧！,1,夜は短し歩けよ乙女,141,8.1,3129
7话/2017年8月12日/板村智幸/西尾維新/渡辺明夫,终物语（下）,7,終物語(下),140,8.1,2126
99话/2012年4月1日/渡辺歩/小山宙哉（講談社「モーニング」連載中）,宇宙兄弟,99,宇宙兄弟,139,8.2,1265
1话/1999年7月3日/АлександрКонстантиновичПетров/ErnestMillerHemingway,老人与海,1,The Old Man and the Sea,138,8.2,403
24话/2014年4月4日/津田尚克/荒木飛呂彦（集英社ジャンプコミックス刊）/小美野雅彦、町田真一（副人物设定、替身设计）、光田史亮（替身设计）,JOJO的奇妙冒险 星尘斗士,24,ジョジョの奇妙な冒険 スターダストクルセイダース,137,8.1,4417
24话/2006年7月9日/山本裕介/大岩ケンヂ/右凑具央、吉田隆彦,欢迎加入NHK！,24,N・H・Kにようこそ!,136,8.1,3416
20话/2014年8月1日/JohnAoshima/AaronSpringer/JoePitt,怪诞小镇 第二季,20,Gravity Falls Season 2,135,8.3,276
1话/1984年2月11日,福星小子2 绮丽梦中人,1,うる星やつら2 ビューティフル・ドリーマー,134,8.3,316
25话/2011年10月1日,爆漫王。2,25,バクマン。2,133,8.1,3012
153话/1986年2月26日/鳥山明（集英社「週刊少年ジャンプ」連載）,龙珠,153,ドラゴンボール,131,8.2,2629
1话/2009年4月25日/今石洋之/GAINAX・中島かずき/錦織敦史,天元突破红莲螺岩 螺岩篇,1,劇場版 天元突破グレンラガン 螺巌篇,132,8.2,1701
13话/2016年1月8日/畠山守（小俣真一）/雲田はるこ（講談社「ITAN」連載）/細居美恵子,昭和元禄落语心中,13,昭和元禄落語心中,130,8.2,1897
3话/1995年12月23日/森本晃司、岡村天斎、大友克洋,回忆三部曲,3,MEMORIES,129,8.2,1599
25话/2014年4月6日/古舘春一,排球少年,25,ハイキュー!!,128,8.2,3203
13话/2008年7月7日/大森貴弘/緑川ゆき,夏目友人帐,13,夏目友人帳,161,8.1,6179
